StockCode,Date,Quantity,Price,Month,DayOfWeek,WeekOfYear,Lag1,RollingMean7,StockCodeEnc
20685,2010-04-30,2,7.49,4,4,17,10.0,15.428571428571429,0
20685,2010-05-02,8,7.489999999999999,5,6,17,2.0,14.142857142857142,0
20685,2010-05-04,23,7.2620000000000005,5,1,18,8.0,15.0,0
20685,2010-05-05,16,7.205,5,2,18,23.0,16.0,0
20685,2010-05-06,18,7.205,5,3,18,16.0,12.571428571428571,0
20685,2010-05-07,12,6.92,5,4,18,18.0,13.857142857142858,0
20685,2010-05-09,36,7.109999999999999,5,6,18,12.0,12.714285714285714,0
20685,2010-05-10,28,6.92,5,0,19,36.0,16.428571428571427,0
20685,2010-05-11,20,7.205,5,1,19,28.0,20.142857142857142,0
20685,2010-05-12,45,6.92,5,2,19,20.0,21.857142857142858,0
20685,2010-05-13,5,7.49,5,3,19,45.0,25.0,0
20685,2010-05-14,10,7.489999999999999,5,4,19,5.0,23.428571428571427,0
20685,2010-05-16,53,6.635,5,6,19,10.0,22.285714285714285,0
20685,2010-05-18,27,7.376,5,1,20,53.0,28.142857142857142,0
20685,2010-05-19,2,7.49,5,2,20,27.0,26.857142857142858,0
20685,2010-05-20,32,6.635,5,3,20,2.0,23.142857142857142,0
20685,2010-05-21,12,6.92,5,4,20,32.0,24.857142857142858,0
20685,2010-05-23,30,7.2620000000000005,5,6,20,12.0,20.142857142857142,0
20685,2010-05-24,4,7.49,5,0,21,30.0,23.714285714285715,0
20685,2010-05-25,12,7.49,5,1,21,4.0,22.857142857142858,0
20685,2010-05-26,4,7.49,5,2,21,12.0,17.0,0
20685,2010-05-27,22,7.2620000000000005,5,3,21,4.0,13.714285714285714,0
20685,2010-05-28,8,7.489999999999999,5,4,21,22.0,16.571428571428573,0
20685,2010-05-30,11,6.92,5,6,21,8.0,13.142857142857142,0
20685,2010-06-01,4,7.49,6,1,22,11.0,13.0,0
20685,2010-06-02,2,7.49,6,2,22,4.0,9.285714285714286,0
20685,2010-06-03,12,6.92,6,3,22,2.0,9.0,0
20685,2010-06-06,19,7.3,6,6,22,12.0,9.0,0
20685,2010-06-07,11,7.489999999999999,6,0,23,19.0,11.142857142857142,0
20685,2010-06-08,12,6.92,6,1,23,11.0,9.571428571428571,0
20685,2010-06-09,14,6.92,6,2,23,12.0,10.142857142857142,0
20685,2010-06-10,8,7.49,6,3,23,14.0,10.571428571428571,0
20685,2010-06-11,6,7.49,6,4,23,8.0,11.142857142857142,0
20685,2010-06-13,10,6.35,6,6,23,6.0,11.714285714285714,0
20685,2010-06-14,8,7.49,6,0,24,10.0,11.428571428571429,0
20685,2010-06-15,83,7.205,6,1,24,8.0,9.857142857142858,0
20685,2010-06-16,36,6.7299999999999995,6,2,24,83.0,20.142857142857142,0
20685,2010-06-17,3,7.489999999999999,6,3,24,36.0,23.571428571428573,0
20685,2010-06-18,4,7.49,6,4,24,3.0,22.0,0
20685,2010-06-20,2,7.49,6,6,24,4.0,21.428571428571427,0
20685,2010-06-21,11,7.49,6,0,25,2.0,20.857142857142858,0
20685,2010-06-22,12,7.49,6,1,25,11.0,21.0,0
20685,2010-06-23,10,6.35,6,2,25,12.0,21.571428571428573,0
20685,2010-06-24,36,6.806,6,3,25,10.0,11.142857142857142,0
20685,2010-06-25,16,7.205,6,4,25,36.0,11.142857142857142,0
20685,2010-06-27,34,7.109999999999999,6,6,25,16.0,13.0,0
20685,2010-06-28,39,7.205,6,0,26,34.0,17.285714285714285,0
20685,2010-06-29,8,7.49,6,1,26,39.0,22.571428571428573,0
20685,2010-06-30,9,7.49,6,2,26,8.0,22.142857142857142,0
20685,2010-07-01,13,7.49,7,3,26,9.0,21.714285714285715,0
20685,2010-07-02,1,7.49,7,4,26,13.0,22.142857142857142,0
20685,2010-07-04,2,7.49,7,6,26,1.0,17.142857142857142,0
20685,2010-07-05,26,6.92,7,0,27,2.0,15.142857142857142,0
20685,2010-07-06,36,7.205,7,1,27,26.0,14.0,0
20685,2010-07-07,20,6.35,7,2,27,36.0,13.571428571428571,0
20685,2010-07-08,5,7.489999999999999,7,3,27,20.0,15.285714285714286,0
20685,2010-07-12,20,6.35,7,0,28,5.0,14.714285714285714,0
20685,2010-07-13,10,7.49,7,1,28,20.0,15.714285714285714,0
20685,2010-07-14,4,7.489999999999999,7,2,28,10.0,17.0,0
20685,2010-07-15,4,7.49,7,3,28,4.0,17.285714285714285,0
20685,2010-07-16,20,6.35,7,4,28,4.0,14.142857142857142,0
20685,2010-07-18,20,6.35,7,6,28,20.0,11.857142857142858,0
20685,2010-07-19,16,7.2620000000000005,7,0,29,20.0,11.857142857142858,0
20685,2010-07-20,9,7.49,7,1,29,16.0,13.428571428571429,0
20685,2010-07-21,10,7.489999999999999,7,2,29,9.0,11.857142857142858,0
20685,2010-07-22,24,7.109999999999999,7,3,29,10.0,11.857142857142858,0
20685,2010-07-23,6,7.489999999999999,7,4,29,24.0,14.714285714285714,0
20685,2010-07-25,19,7.2620000000000005,7,6,29,6.0,15.0,0
20685,2010-07-26,5,7.489999999999999,7,0,30,19.0,14.857142857142858,0
20685,2010-07-27,6,7.49,7,1,30,5.0,12.714285714285714,0
20685,2010-07-28,28,6.92,7,2,30,6.0,11.285714285714286,0
20685,2010-07-29,33,7.109999999999999,7,3,30,28.0,14.0,0
20685,2010-07-30,12,6.92,7,4,30,33.0,17.285714285714285,0
20685,2010-08-01,12,6.92,8,6,30,12.0,15.571428571428571,0
20685,2010-08-02,10,7.489999999999999,8,0,31,12.0,16.428571428571427,0
20685,2010-08-03,2,7.49,8,1,31,10.0,15.142857142857142,0
20685,2010-08-04,14,6.92,8,2,31,2.0,14.714285714285714,0
20685,2010-08-05,12,6.92,8,3,31,14.0,15.857142857142858,0
20685,2010-08-06,10,6.35,8,4,31,12.0,13.571428571428571,0
20685,2010-08-08,12,6.92,8,6,31,10.0,10.285714285714286,0
20685,2010-08-09,1,7.49,8,0,32,12.0,10.285714285714286,0
20685,2010-08-10,1,7.49,8,1,32,1.0,8.714285714285714,0
20685,2010-08-11,3,7.49,8,2,32,1.0,7.428571428571429,0
20685,2010-08-12,59,7.2620000000000005,8,3,32,3.0,7.571428571428571,0
20685,2010-08-13,1,7.49,8,4,32,59.0,14.0,0
20685,2010-08-15,33,6.806,8,6,32,1.0,12.428571428571429,0
20685,2010-08-16,5,7.489999999999999,8,0,33,33.0,15.714285714285714,0
20685,2010-08-17,20,6.35,8,1,33,5.0,14.714285714285714,0
20685,2010-08-18,90,6.35,8,2,33,20.0,17.428571428571427,0
20685,2010-08-19,12,6.92,8,3,33,90.0,30.142857142857142,0
20685,2010-08-20,14,7.109999999999999,8,4,33,12.0,31.428571428571427,0
20685,2010-08-22,2,7.49,8,6,33,14.0,25.0,0
20685,2010-08-23,22,6.92,8,0,34,2.0,25.142857142857142,0
20685,2010-08-24,2,7.49,8,1,34,22.0,23.571428571428573,0
20685,2010-08-25,7,7.49,8,2,34,2.0,23.142857142857142,0
20685,2010-08-26,22,7.205,8,3,34,7.0,21.285714285714285,0
20685,2010-08-29,2,7.49,8,6,34,22.0,11.571428571428571,0
20685,2010-08-31,3,7.95,8,1,35,2.0,10.142857142857142,0
20685,2010-09-01,10,6.35,9,2,35,3.0,8.571428571428571,0
20685,2010-09-02,14,7.109999999999999,9,3,35,10.0,9.714285714285714,0
20685,2010-09-03,18,7.205,9,4,35,14.0,8.571428571428571,0
20685,2010-09-05,21,7.418000000000001,9,6,35,18.0,10.857142857142858,0
20685,2010-09-06,37,7.198571428571428,9,0,36,21.0,12.857142857142858,0
20685,2010-09-07,8,7.95,9,1,36,37.0,15.0,0
20685,2010-09-08,4,7.720000000000001,9,2,36,8.0,15.857142857142858,0
20685,2010-09-09,2,7.95,9,3,36,4.0,16.0,0
20685,2010-09-10,24,7.35,9,4,36,2.0,14.857142857142858,0
20685,2010-09-12,12,7.35,9,6,36,24.0,16.285714285714285,0
20685,2010-09-13,6,7.95,9,0,37,12.0,15.428571428571429,0
20685,2010-09-14,10,6.75,9,1,37,6.0,13.285714285714286,0
20685,2010-09-15,67,7.65,9,2,37,10.0,9.428571428571429,0
20685,2010-09-16,13,7.720000000000001,9,3,37,67.0,17.857142857142858,0
20685,2010-09-17,5,7.95,9,4,37,13.0,19.142857142857142,0
20685,2010-09-19,6,7.95,9,6,37,5.0,19.571428571428573,0
20685,2010-09-20,22,7.65,9,0,38,6.0,17.0,0
20685,2010-09-21,4,7.95,9,1,38,22.0,18.428571428571427,0
20685,2010-09-22,11,7.35,9,2,38,4.0,18.142857142857142,0
20685,2010-09-23,12,7.35,9,3,38,11.0,18.285714285714285,0
20685,2010-09-24,5,7.95,9,4,38,12.0,10.428571428571429,0
20685,2010-09-26,9,7.95,9,6,38,5.0,9.285714285714286,0
20685,2010-09-27,23,7.35,9,0,39,9.0,9.857142857142858,0
20685,2010-09-28,12,7.95,9,1,39,23.0,12.285714285714286,0
20685,2010-09-29,37,7.3500000000000005,9,2,39,12.0,10.857142857142858,0
20685,2010-09-30,30,7.83,9,3,39,37.0,15.571428571428571,0
20685,2010-10-01,3,7.95,10,4,39,30.0,18.285714285714285,0
20685,2010-10-03,7,7.95,10,6,39,3.0,17.0,0
20685,2010-10-04,18,7.65,10,0,40,7.0,17.285714285714285,0
20685,2010-10-05,10,7.858,10,1,40,18.0,18.571428571428573,0
20685,2010-10-06,12,7.35,10,2,40,10.0,16.714285714285715,0
20685,2010-10-07,12,7.55,10,3,40,12.0,16.714285714285715,0
20685,2010-10-08,10,6.75,10,4,40,12.0,13.142857142857142,0
20685,2010-10-10,8,7.95,10,6,40,10.0,10.285714285714286,0
20685,2010-10-11,9,7.95,10,0,41,8.0,11.0,0
20685,2010-10-12,32,7.607142857142857,10,1,41,9.0,11.285714285714286,0
20685,2010-10-13,23,7.55,10,2,41,32.0,13.285714285714286,0
20685,2010-10-14,26,7.35,10,3,41,23.0,15.142857142857142,0
20685,2010-10-15,21,7.35,10,4,41,26.0,17.142857142857142,0
20685,2010-10-17,23,7.55,10,6,41,21.0,18.428571428571427,0
20685,2010-10-18,5,7.95,10,0,42,23.0,20.285714285714285,0
20685,2010-10-19,2,7.95,10,1,42,5.0,19.857142857142858,0
20685,2010-10-20,10,6.75,10,2,42,2.0,18.857142857142858,0
20685,2010-10-21,3,7.95,10,3,42,10.0,15.714285714285714,0
20685,2010-10-24,4,7.95,10,6,42,3.0,12.857142857142858,0
20685,2010-10-25,10,7.95,10,0,43,4.0,9.714285714285714,0
20685,2010-10-26,18,7.65,10,1,43,10.0,8.142857142857142,0
20685,2010-10-27,16,7.35,10,2,43,18.0,7.428571428571429,0
20685,2010-10-28,12,7.35,10,3,43,16.0,9.0,0
20685,2010-10-29,20,6.75,10,4,43,12.0,10.428571428571429,0
20685,2010-10-31,2,7.95,10,6,43,20.0,11.857142857142858,0
20685,2010-11-01,8,7.95,11,0,44,2.0,11.714285714285714,0
20685,2010-11-02,13,7.55,11,1,44,8.0,12.285714285714286,0
20685,2010-11-03,13,7.55,11,2,44,13.0,12.714285714285714,0
20685,2010-11-04,12,7.95,11,3,44,13.0,12.0,0
20685,2010-11-05,33,7.35,11,4,44,12.0,11.428571428571429,0
20685,2010-11-07,4,7.95,11,6,44,33.0,14.428571428571429,0
20685,2010-11-08,4,7.95,11,0,45,4.0,12.142857142857142,0
20685,2010-11-09,17,7.709999999999999,11,1,45,4.0,12.428571428571429,0
20685,2010-11-10,16,7.95,11,2,45,17.0,13.714285714285714,0
20685,2010-11-11,33,7.65,11,3,45,16.0,14.142857142857142,0
20685,2010-11-12,41,7.1499999999999995,11,4,45,33.0,17.0,0
20685,2010-11-14,4,7.95,11,6,45,41.0,21.142857142857142,0
20685,2010-11-15,13,7.55,11,0,46,4.0,17.0,0
20685,2010-11-16,112,7.05,11,1,46,13.0,18.285714285714285,0
20685,2010-11-17,51,7.435714285714285,11,2,46,112.0,33.714285714285715,0
20685,2010-11-18,15,7.95,11,3,46,51.0,38.57142857142857,0
20685,2010-11-19,3,7.95,11,4,46,15.0,38.42857142857143,0
20685,2010-11-21,14,7.95,11,6,46,3.0,34.142857142857146,0
20685,2010-11-22,2,7.95,11,0,47,14.0,30.285714285714285,0
20685,2010-11-23,36,7.65,11,1,47,2.0,30.0,0
20685,2010-11-24,2,7.95,11,2,47,36.0,33.285714285714285,0
20685,2010-11-25,36,7.607142857142857,11,3,47,2.0,17.571428571428573,0
20685,2010-11-26,12,7.35,11,4,47,36.0,15.428571428571429,0
20685,2010-11-28,18,7.709999999999999,11,6,47,12.0,15.0,0
20685,2010-11-30,15,7.65,11,1,48,18.0,17.142857142857142,0
20685,2010-12-01,28,7.709999999999999,12,2,48,15.0,17.285714285714285,0
20685,2010-12-02,55,7.1499999999999995,12,3,48,28.0,21.0,0
20685,2010-12-03,2,7.95,12,4,48,55.0,23.714285714285715,0
20685,2010-12-05,13,7.65,12,6,48,2.0,23.714285714285715,0
20685,2010-12-06,15,7.65,12,0,49,13.0,20.428571428571427,0
20685,2010-12-07,23,7.55,12,1,49,15.0,20.857142857142858,0
20685,2010-12-08,20,7.75,12,2,49,23.0,21.571428571428573,0
20685,2010-12-09,19,7.75,12,3,49,20.0,22.285714285714285,0
20685,2010-12-10,83,7.2299999999999995,12,4,49,19.0,21.0,0
20685,2010-12-12,3,7.95,12,6,49,83.0,25.0,0
20685,2010-12-14,6,7.95,12,1,50,3.0,25.142857142857142,0
20685,2010-12-15,11,7.95,12,2,50,6.0,24.142857142857142,0
20685,2010-12-16,32,7.607142857142857,12,3,50,11.0,23.571428571428573,0
20685,2010-12-17,36,7.55,12,4,50,32.0,24.857142857142858,0
20685,2010-12-20,1,7.95,12,0,51,36.0,27.142857142857142,0
20685,2010-12-21,5,7.95,12,1,51,1.0,24.571428571428573,0
20685,2010-12-22,5,7.95,12,2,51,5.0,13.428571428571429,0
20685,2011-01-05,31,7.05,1,2,1,5.0,13.714285714285714,0
20685,2011-01-06,22,7.35,1,3,1,31.0,17.285714285714285,0
20685,2011-01-07,2,7.95,1,4,1,22.0,18.857142857142858,0
20685,2011-01-11,2,7.95,1,1,2,2.0,14.571428571428571,0
20685,2011-01-12,5,7.95,1,2,2,2.0,9.714285714285714,0
20685,2011-01-13,7,7.95,1,3,2,5.0,10.285714285714286,0
20685,2011-01-14,4,7.95,1,4,2,7.0,10.571428571428571,0
20685,2011-01-17,3,7.95,1,0,3,4.0,10.428571428571429,0
20685,2011-01-18,22,7.35,1,1,3,3.0,6.428571428571429,0
20685,2011-01-19,5,7.95,1,2,3,22.0,6.428571428571429,0
20685,2011-01-20,8,7.95,1,3,3,5.0,6.857142857142857,0
20685,2011-01-21,22,6.75,1,4,3,8.0,7.714285714285714,0
20685,2011-01-23,21,7.35,1,6,3,22.0,10.142857142857142,0
20685,2011-01-24,24,7.35,1,0,4,21.0,12.142857142857142,0
20685,2011-01-25,18,7.65,1,1,4,24.0,15.0,0
20685,2011-01-26,35,7.470000000000001,1,2,4,18.0,17.142857142857142,0
20685,2011-01-27,22,7.778571428571429,1,3,4,35.0,19.0,0
20685,2011-01-28,10,7.95,1,4,4,22.0,21.428571428571427,0
20685,2011-01-30,5,7.95,1,6,4,10.0,21.714285714285715,0
20685,2011-01-31,5,7.95,1,0,5,5.0,19.285714285714285,0
20685,2011-02-01,11,7.35,2,1,5,5.0,17.0,0
20685,2011-02-02,20,7.709999999999999,2,2,5,11.0,15.142857142857142,0
20685,2011-02-03,11,7.35,2,3,5,20.0,15.428571428571429,0
20685,2011-02-06,2,7.95,2,6,5,11.0,12.0,0
20685,2011-02-07,4,7.95,2,0,6,2.0,9.142857142857142,0
20685,2011-02-08,12,7.35,2,1,6,4.0,8.285714285714286,0
20685,2011-02-10,10,6.75,2,3,6,12.0,9.285714285714286,0
20685,2011-02-15,10,6.75,2,1,7,10.0,10.0,0
20685,2011-02-16,5,7.95,2,2,7,10.0,9.857142857142858,0
20685,2011-02-17,10,7.95,2,3,7,5.0,7.714285714285714,0
20685,2011-02-18,4,7.95,2,4,7,10.0,7.571428571428571,0
20685,2011-02-20,1,7.95,2,6,7,4.0,7.857142857142857,0
20685,2011-02-21,38,7.55,2,0,8,1.0,7.428571428571429,0
20685,2011-02-22,4,7.95,2,1,8,38.0,11.142857142857142,0
20685,2011-02-23,3,7.95,2,2,8,4.0,10.285714285714286,0
20685,2011-02-24,11,7.35,2,3,8,3.0,9.285714285714286,0
20685,2011-02-25,4,7.95,2,4,8,11.0,10.142857142857142,0
20685,2011-02-27,3,7.95,2,6,8,4.0,9.285714285714286,0
20685,2011-02-28,6,7.95,2,0,9,3.0,9.142857142857142,0
20685,2011-03-01,7,7.95,3,1,9,6.0,9.857142857142858,0
20685,2011-03-02,4,7.95,3,2,9,7.0,5.428571428571429,0
20685,2011-03-03,14,7.55,3,3,9,4.0,5.428571428571429,0
20685,2011-03-06,12,7.35,3,6,9,14.0,7.0,0
20685,2011-03-07,11,7.35,3,0,10,12.0,7.142857142857143,0
20685,2011-03-08,52,7.607142857142857,3,1,10,11.0,8.142857142857142,0
20685,2011-03-09,10,7.95,3,2,10,52.0,15.142857142857142,0
20685,2011-03-10,4,7.95,3,3,10,10.0,15.714285714285714,0
20685,2011-03-11,3,7.95,3,4,10,4.0,15.285714285714286,0
20685,2011-03-14,1,7.95,3,0,11,3.0,15.142857142857142,0
20685,2011-03-15,12,7.35,3,1,11,1.0,13.285714285714286,0
20685,2011-03-16,12,7.35,3,2,11,12.0,13.285714285714286,0
20685,2011-03-18,13,7.55,3,4,11,12.0,13.428571428571429,0
20685,2011-03-20,4,7.95,3,6,11,13.0,7.857142857142857,0
20685,2011-03-21,22,7.35,3,0,12,4.0,7.0,0
20685,2011-03-22,8,7.95,3,1,12,22.0,9.571428571428571,0
20685,2011-03-23,2,7.95,3,2,12,8.0,10.285714285714286,0
20685,2011-03-24,1,7.95,3,3,12,2.0,10.428571428571429,0
20685,2011-03-25,2,7.95,3,4,12,1.0,8.857142857142858,0
20685,2011-03-28,9,7.95,3,0,13,2.0,7.428571428571429,0
20685,2011-03-29,2,7.95,3,1,13,9.0,6.857142857142857,0
20685,2011-03-30,4,7.95,3,2,13,2.0,6.571428571428571,0
20685,2011-03-31,19,7.709999999999999,3,3,13,4.0,4.0,0
20685,2011-04-01,12,7.55,4,4,13,19.0,5.571428571428571,0
20685,2011-04-03,2,7.95,4,6,13,12.0,7.0,0
20685,2011-04-04,4,7.95,4,0,14,2.0,7.142857142857143,0
20685,2011-04-05,13,7.55,4,1,14,4.0,7.428571428571429,0
20685,2011-04-06,21,7.35,4,2,14,13.0,8.0,0
20685,2011-04-07,1,7.95,4,3,14,21.0,10.714285714285714,0
20685,2011-04-08,18,7.709999999999999,4,4,14,1.0,10.285714285714286,0
20685,2011-04-10,3,7.95,4,6,14,18.0,10.142857142857142,0
20685,2011-04-11,9,7.95,4,0,15,3.0,8.857142857142858,0
20685,2011-04-12,13,7.55,4,1,15,9.0,9.857142857142858,0
20685,2011-04-13,2,7.95,4,2,15,13.0,11.142857142857142,0
20685,2011-04-15,4,7.95,4,4,15,2.0,9.571428571428571,0
20685,2011-04-17,4,7.95,4,6,15,4.0,7.142857142857143,0
20685,2011-04-18,1,7.95,4,0,16,4.0,7.571428571428571,0
20685,2011-04-19,2,7.95,4,1,16,1.0,5.142857142857143,0
20685,2011-04-20,2,7.95,4,2,16,2.0,5.0,0
20685,2011-04-21,4,7.95,4,3,16,2.0,4.0,0
20685,2011-04-26,5,7.95,4,1,17,4.0,2.7142857142857144,0
20685,2011-04-28,2,7.95,4,3,17,5.0,3.142857142857143,0
20685,2011-05-01,6,7.95,5,6,17,2.0,2.857142857142857,0
20685,2011-05-03,2,7.95,5,1,18,6.0,3.142857142857143,0
20685,2011-05-04,22,7.1499999999999995,5,2,18,2.0,3.2857142857142856,0
20685,2011-05-05,2,7.95,5,3,18,22.0,6.142857142857143,0
20685,2011-05-06,42,7.35,5,4,18,2.0,6.142857142857143,0
20685,2011-05-08,7,7.95,5,6,18,42.0,11.571428571428571,0
20685,2011-05-09,7,7.95,5,0,19,7.0,11.857142857142858,0
20685,2011-05-10,12,7.35,5,1,19,7.0,12.571428571428571,0
20685,2011-05-11,6,7.95,5,2,19,12.0,13.428571428571429,0
20685,2011-05-12,41,7.05,5,3,19,6.0,14.0,0
20685,2011-05-13,20,6.75,5,4,19,41.0,16.714285714285715,0
20685,2011-05-15,10,6.75,5,6,19,20.0,19.285714285714285,0
